,TripID,VehicleID,ChargeType,SoCStart,SoCEnd,dE,Pmax,t0,t1,t2,Location,BatteryCapacity,lbd,t_inf
4160,2015225666,2015009275,home,0.15916666666666668,0.999999999815577,25.22499999446731,7.4,6840.0,7017.1345208845205,8050.0,h,30.0,0.018070799999287915,7399.395091457113
4161,2015225655,2015009275,Rapid Enroute,0.15916666666666668,0.2647089108100425,19.225,150.0,375.0,382.69,382.69,Rapid Enroute,30.0,,382.69
4162,2015225657,2015009275,Rapid Enroute,0.15916666666666668,0.5407116939589544,19.225,150.0,1815.0,1822.69,1822.69,Rapid Enroute,30.0,,1822.69
4163,2015225661,2015009275,Rapid Enroute,0.15916666666666668,0.7227038899999999,18.965142326764038,150.0,3250.0,3257.5860569307056,3257.5860569307056,Rapid Enroute,30.0,,3257.5860569307056
4164,2015225665,2015009275,Rapid Enroute,0.15916666666666668,0.72270389,18.404002571065387,150.0,6135.0,6142.361601028426,6142.361601028426,Rapid Enroute,30.0,,6142.361601028426
4165,2015011594,2015000386,home,0.11875,0.3493833333333333,9.225333333333333,7.4,1080.0,1331.0749385749386,1165.0,h,40.0,0.013566606848703488,2238.9395746440923
4166,2015011596,2015000386,home,0.16471156833333334,0.9999999865135301,33.41153672720787,7.4,1371.0,1605.1357856265356,1817.0,h,40.0,0.013566606848703488,2513.0004216956895
4167,2015011599,2015000386,home,0.20804377251353,0.32200377251353,4.558400000000001,7.4,2506.0,2724.1656858058245,2548.0,h,40.0,0.013566606848703488,3632.0303218749787
4168,2015011601,2015000386,home,0.16263887901353002,0.9999999865135305,33.49444430000002,7.4,2739.0,2973.8996760392397,3253.0,h,40.0,0.013566606848703488,3881.764312108394
4169,2015011603,2015000386,home,0.20039940751353053,0.9999999865135294,31.984023159999957,7.4,3954.0,4174.9830193439075,4695.0,h,40.0,0.013566606848703488,5082.847655413061
4170,2015011572,2015000386,home,0.15260200951352942,0.36695534284686276,8.574133333333334,7.4,5407.0,5645.5987679925565,5486.0,h,40.0,0.013566606848703488,6553.46340406171
